alpha,pfail,budget,regime_label,interestingness_score,final_anc_spread,threshold_hit_spread,rounds_spread,mean_final_anc,mean_threshold_hit,budget_sensitivity,best_policy,worst_policy,best_heuristic,best_heuristic_final_anc,rl_vs_best_heuristic_gap,random_final_anc_mean,random_final_anc_stderr,random_threshold_hit_mean,random_rounds_mean,degree_final_anc_mean,degree_final_anc_stderr,degree_threshold_hit_mean,degree_rounds_mean,risk_final_anc_mean,risk_final_anc_stderr,risk_threshold_hit_mean,risk_rounds_mean,greedy_final_anc_mean,greedy_final_anc_stderr,greedy_threshold_hit_mean,greedy_rounds_mean,betweenness_final_anc_mean,betweenness_final_anc_stderr,betweenness_threshold_hit_mean,betweenness_rounds_mean
0.4,0.1,3,trivial,0.014074413322860213,0.0,0.0,0.11111111111111116,1.0,1.0,0.07037206661430107,random,random,random,1.0,,1.0,0.0,1.0,1.4444444444444444,1.0,0.0,1.0,1.4444444444444444,1.0,0.0,1.0,1.5555555555555556,1.0,0.0,1.0,1.4444444444444444,1.0,0.0,1.0,1.4444444444444444
0.4,0.1,4,trivial,0.014074413322860213,0.0,0.0,0.0,1.0,1.0,0.07037206661430107,random,random,random,1.0,,1.0,0.0,1.0,1.2777777777777777,1.0,0.0,1.0,1.2777777777777777,1.0,0.0,1.0,1.2777777777777777,1.0,0.0,1.0,1.2777777777777777,1.0,0.0,1.0,1.2777777777777777
0.6,0.02,1,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778,1.0,0.0,1.0,0.7777777777777778
0.6,0.02,2,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.6,0.02,3,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.6,0.02,4,trivial,0.0,0.0,0.0,0.0,1.0,1.0,0.0,random,random,random,1.0,,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556,1.0,0.0,1.0,0.5555555555555556
0.6,0.05,1,trivial,0.004050237365542958,0.004927588486268841,0.0,0.0,0.9954630130400817,1.0,0.0025539330569076535,random,risk,random,0.9974460669430923,,0.9974460669430923,0.0024819767995806104,1.0,2.2777777777777777,0.9949522264287002,0.004905554145053433,1.0,2.2777777777777777,0.9925184784568235,0.0072707320364184865,1.0,2.2777777777777777,0.9974460669430923,0.0024819767995806104,1.0,2.2777777777777777,0.9949522264287002,0.004905554145053433,1.0,2.2777777777777777
0.6,0.05,2,trivial,0.0005107866113815307,0.0,0.0,0.0,1.0,1.0,0.0025539330569076535,random,random,random,1.0,,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888
0.6,0.05,3,trivial,0.0005107866113815307,0.0,0.0,0.0,1.0,1.0,0.0025539330569076535,random,random,random,1.0,,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888
0.6,0.05,4,trivial,0.0005107866113815307,0.0,0.0,0.0,1.0,1.0,0.0025539330569076535,random,random,random,1.0,,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888,1.0,0.0,1.0,0.8888888888888888
0.6,0.08,1,trivial,0.004050237365542958,0.004927588486268841,0.0,0.0,0.9954630130400817,1.0,0.0025539330569076535,random,risk,random,0.9974460669430923,,0.9974460669430923,0.0024819767995806104,1.0,2.9444444444444446,0.9949522264287002,0.004905554145053433,1.0,2.9444444444444446,0.9925184784568235,0.0072707320364184865,1.0,2.9444444444444446,0.9974460669430923,0.0024819767995806104,1.0,2.9444444444444446,0.9949522264287002,0.004905554145053433,1.0,2.9444444444444446
0.6,0.08,2,trivial,0.0005107866113815307,0.0,0.0,0.0,1.0,1.0,0.0025539330569076535,random,random,random,1.0,,1.0,0.0,1.0,1.7222222222222223,1.0,0.0,1.0,1.7222222222222223,1.0,0.0,1.0,1.7222222222222223,1.0,0.0,1.0,1.7222222222222223,1.0,0.0,1.0,1.7222222222222223
0.6,0.08,3,trivial,0.0005107866113815307,0.0,0.0,0.0,1.0,1.0,0.0025539330569076535,random,random,random,1.0,,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888,1.0,0.0,1.0,1.3888888888888888
0.6,0.08,4,trivial,0.0005107866113815307,0.0,0.0,0.0,1.0,1.0,0.0025539330569076535,random,random,random,1.0,,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556,1.0,0.0,1.0,1.0555555555555556
